id,member_id,date,title,tags,prefecture,venue,setlist_main,setlist_encore
714,0,2026/08/14,コカ・コーラ SUMMER FES 音楽ライブ,フェス,東京都,六本木ヒルズアリーナ,えびチリ、はじめました|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|梅|HOT UP!!!|MISSION SURVIVOR|23回目のサマーナイト|愛のレンタル|CHAN-CHARA-CHAN|朝顔|青春ゾンビィィズ|売れたいエモーション!|金八DANCE MUSIC,
713,0,2026/08/10,LuckyFes’26,フェス,茨城県,国営ひたち海浜公園,ラブリースマイリーベイビー|えびチリ、はじめました|仮契約のシンデレラ|愛のレンタル|ジャンプ|HOT UP!!!|シンガロン・シンガソン,
712,0,2026/08/09,FAMIEN 2026 DAY2 限界突破！！,ファミえん,山梨県,山中湖交流プラザきらら シアターひびき,オメカシ・フィーバー|イヤフォン・ライオット|ApaApa|ちちんぷい|夏だぜジョニー|MISSION SURVIVOR|HOT UP!!!|イート・ザ・大目玉|ナチュメロらんでぶー|Summer Glitter|スーパーブルー|ハイタテキ!|まだ×2売れたいエモーション！@桜木心菜・小久保柚乃・風見和香・桜井えま・仲村悠菜//ほぼブラジル//いつかのメイドインジャピャ～ン|えびチリ、はじめました|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|買い物しようと町田へ|新未来センセーション|梅|シンガロン・シンガソン,サドンデス|Family Complex|誘惑したいや|放課後ゲタ箱ロッケンロールMX
711,0,2026/08/08,FAMIEN 2026 DAY1 EMO中！,ファミえん,山梨県,山中湖交流プラザきらら シアターひびき,Bang Bang Beat|イヤフォン・ライオット|ApaApa|ちちんぷい|夏だぜジョニー|MISSION SURVIVOR|HOT UP!!!|イート・ザ・大目玉|ラブリースマイリーベイビー|Summer Glitter@真山りか・安本彩花|スーパーブルー|紅の詩|まだ×2売れたいエモーション！@桜木心菜・小久保柚乃・風見和香・桜井えま・仲村悠菜//ほぼブラジル//いつかのメイドインジャピャ～ン|えびチリ、はじめました|いい湯かな?|感情電車|愛のレンタル|自由へ道連れ|23回目のサマーナイト|YELL,熟女になっても|仮契約のシンデレラ|フレ!フレ!サイリウム
710,0,2026/08/04,めざましライブ×イマドキ,,東京都,豊洲PIT,えびぞりダイアモンド!!|えびチリ、はじめました|Family Complex|シンガロン・シンガソン,
709,0,2026/08/02,Heavy Kawaii Fes 2026,,東京都,明治座,仮契約のシンデレラ|えびチリ、はじめました|YELL|HOT UP!!!|自由へ道連れ|愛のレンタル|梅,
708,0,2026/08/01,Heavy Kawaii Fes 2026,,東京都,明治座,仮契約のシンデレラ|えびチリ、はじめました|放課後ゲタ箱ロッケンロールMX|紅の詩|自由へ道連れ|愛のレンタル|えびぞりダイアモンド!!,
707,0,2026/07/31,TOKYO IDOL FESTIVAL 2026 supported by にしたんクリニック,フェス,東京都,お台場・青海周辺エリア,仮契約のシンデレラ|揚げろ!エビフライ|えびチリ、はじめました|Go!Go!Here We Go!ロック・リー|放課後ゲタ箱ロッケンロールMX,
706,0,2026/07/26,10年目記念で有明に引っ越しだよ！六本木アイドルフェスティバル2026,フェス,東京都,東京ドリームパーク,青い青い星の名前|仮契約のシンデレラ|えびチリ、はじめました|紅の詩|YELL,
705,5,2026/07/25,Jember Fashion Carnaval 2026,ソロ,インドネシア,,Bobby makes you smile!|Modorenai Yoru|Swipe Kanan Kiri,
704,0,2026/07/12,私立恵比寿中学 Spring Tour 2026 〜SuGuilty Train〜,春ツアー,東京都,立川ステージガーデン,"R-O-B-O-C-K|はみだせGirls|自由へ道連れ|Knock You Out!|ゼッテーアナーキー|ジブンアップデート|あたしきっと無限ルーパー|HOT UP!!!|制服""報連相″ファンク|イート・ザ・大目玉|BLUE DIZZINESS|PLAYBACK|感情電車|ナガレボシ|ApaApa|まだ×2売れたいエモーション！|シンガロン・シンガソン|スーパーヒーロー|すたーてぃん@桜井えま・仲村悠菜|フレ!フレ!サイリウム|えびチリ、はじめました|えび♡バディLOVE",えびチリ、はじめました|なないろ|スターダストライト
